#TAG,NAME,DESCRIPTION
,void-repo-nonfree,
,base-devel,
,xorg-minimal,
,xf86-video-instal,
,xinit,
,xcape,
,libX11-devel,
,libXinerama-devel,
,libXft-devel,
,neovim,
,git,
,stow,
,lf,
,cmus,
,qutebrowser,
,firefox,
,w3m,
,rsync,
,dunst,
,dbus,
,acpi,
,lm_sensors,
,setxkbmap,
,xbacklight,
,xset,
,texlive,
,isync,
,xsetroot,
,xwallpaper,
,neomutt,
,unclutter-xfixes,
,youtube-dl,
,gst-plugins-bad1,
,mpv,
,subversion,
,glu,
,tmux,
,sc-im,
,xclip,
,xorg-fonts,
,font-inconsolata-otf,
,webkit2gtk,
,webkit2gtk-devel,
,mpd,
,mpc,
,ncmpcpp,
,newsboat,
,gcr-devel,
,noto-fonts-emoji,
,fontconfig-devel,
,font-symbola,
,xwininfo,
,alsa-utils,
,htop,
,font-fantasque-sans-ttf,
,maim,
,autorandr,
,socat,
,unrar,
,unzip,
,arandr,
,xdotool,
,xdpyinfo,
,calcurse,
,zathura,
,zathura-djvu,
,zathura-pdf-mupdf,
,xprop,
,poppler,
,atool,
,mediainfo,
,sxiv,
,fzf,
,highlight,
,gst-libav,
,ffmpeg,
,xmodmap,
,simple-mtpfs,
,font-awesome,
,ts,
,font-libertine-otf,
,R,
,python-pip,
,python3-pip,
,dialog,
,curl,
,wget,
,octave,
,surfraw,
,thermald,
,sc-im,
,urlscan,
,urlview,
,ueberzug,
,cups,
,cups-filters,
,odt2txt,
,wkhtmltopdf,
,detox,
,farbfeld,
,anki,
,exfat-utils,
,gimp,
,ntfs-3g,
,msmtp,
,pass,
,abook,
,notmuch,
,gutenprint,
,ImageMagick,
,zsh,
,transmission-remote-cli,
,transmission,
,zsh-syntax-highlighting,
,powertop,
,hub,
,drive,
,rclone,
,go,
,xcompmgr,
,pulseaudio,
,pulsemixer,
,beets,
,transset,
,pamixer,
,libreoffice,
,0ad,
,virtualbox-ose,
,tuxguitar,
,thinkfan,
,cronie,
G,https://github.com/giant17/dwm,
G,https://github.com/giant17/st,
G,https://github.com/giant17/dmenu,
G,https://github.com/giant17/slstatus,
G,https://github.com/giant17/sent,
P,jupytext,
P,pirate-get,
P,pylast,
,,
