#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-minimal,is the graphical server.
,xorg-fonts,is a font package.
,libX11-devel,is required for the compilation of some programs.
,libXft-devel,is required for the compilation of some programs.
,gcr-devel,is required for the compilation of some programs.
,fontconfig-devel,is required for the compilation of some programs.
,xwininfo,allows querying information about windows.
,xinit,starts the graphical server.
,font-awesome,provides special characters used in the status bar and elsewhere.
,lf,is an extensive terminal file manager that everyone likes.
,arandr,is a UI for screen adjustment.
,calcurse,is a lightweight terminal-based calendar.
,xcompmgr,is for transparency and removing screen-tearing.
,xprop,is a tool for detecting window properties.
,libnotify,allows desktop notifications.
,dbus,facilitates inter-process communication.
,dunst,is a suckless notification system.
,sxiv,is a minimalist image viewer.
,ffmpeg,can record and splice video and audio on the command line.
,neovim,a tidier vim with some useful features
,mpv,is the patrician's choice video player.
,newsboat,is a terminal RSS client.
,noto-fonts-emoji,is a package that gives the system unicode symbols and emojis used in the status bar and elsewhere.
,font-symbola,provides unicode and emoji symbols.
,alsa-utils,is a package of audio utilities.
,sc-im,is an Excel-like terminal spreadsheet manager.
,htop,provides system usage information and displays processes.
,maim,can take quick screenshots at your request.
,socat,is a socket utility.
,unclutter-xfixes,hides an inactive mouse.
,unrar,extracts rar's.
,unzip,unzips zips.
,tmux,
,gnome-keyring,
,stow,
,cmus,
,qutebrowser,
,rsync,
,texlive,
,font-fantasque-sans-ttf,
,drive,
,abook,
,pass,
,msmtp,
,isync,
,neomutt,
,hub,
,w3m,is a terminal browser which can also view images.
,xcape,gives the special escape/super mappings of LARBS.
,xclip,allows for copying and pasting from the command line.
,xdotool,provides window action utilities on the command line.
,xdpyinfo,aids with resolution determination and screen recording.
,youtube-dl,can download any YouTube video (or playlist or channel) when given the link.
,zathura,is a pdf viewer with vim-like bindings.
,zathura-djvu,gives zathura the ability to read .djvu files.
,zathura-pdf-mupdf,allows mupdf pdf compatibility in zathura.
,poppler,manipulates .pdfs and gives .pdf previews and other .pdf functions.
,mediainfo,shows audio and video information and is used by vifm as well.
,atool,manages and gives information about archives.
,fzf,is a fuzzy finder tool.
,highlight,can highlight code output.
,gst-plugins-good1,allows video streaming including YouTube videos.
,gst-libav,allows video streaming including YouTube videos.
,setxkbmap,allows LARBS's unique keyboard bindings.
,xmodmap,allows LARBS's unique keyboard bindings.
,xsetroot,sets status bar and other X properies.
,simple-mtpfs,enables the mounting of cell phones.
,xset,allows speeding up the X rate.
,ts,queues commands or files for download.
